NAMESPACE                       NAME                                                  IMAGE REPOSITORY                                                                                                                        TAGS                                                           UPDATED
bifast-api-ppd                  bifastoutgoingtrx-be                                  default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastoutgoingtrx-be                                         1.0.13.1,latest,1.0.13,1.0.12.1,1.0.12 + 11 more...            6 hours ago
bifast-api-ppd                  bifastparameter-be                                    default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/bifastparameter-be                                           latest,1.0.11,1.0.10,1.0.9,1.0.8,1.0.4 + 4 more...             6 days ago
bifast-api-ppd                  dotnet-21-runtime-rhel7                               default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-ppd/dotnet-21-runtime-rhel7                                      latest                                                         2 weeks ago
bifast-api-sit                  bifast-omni                                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifast-omni                                                  latest,c08f08a9,bdd4fb69,5fddb7b5 + 114 more...                8 hours ago
bifast-api-sit                  bifast-preevent                                       default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifast-preevent                                              latest,a01294dd,ae3da8ad,0ae81a0d + 19 more...                 5 hours ago
bifast-api-sit                  bifast-scheduler                                      default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifast-scheduler                                             latest,583532c7,5648b78a,e910a0ff + 3 more...                  8 days ago
bifast-api-sit                  bifastconnectorinc-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastconnectorinc-be                                        461f7d4d,latest,00c3405c,37b39128 + 35 more...                 2 days ago
bifast-api-sit                  bifastconnectorout-be                                 default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastconnectorout-be                                        latest,cd081136,d339aae9,dfccd4f9 + 100 more...                10 hours ago
bifast-api-sit                  bifastincomingproxy-be                                default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastincomingproxy-be                                       1eec4986,latest,87866082                                       5 months ago
bifast-api-sit                  bifastincomingproxycihub-be                           default-route-openshift-image-registry.apps.np.ocbcnisp.com/bifast-api-sit/bifastincomingproxycihub-be                                  270c478c,latest,bf4fbbf2                                       5 months ago
